"app_in_both_stores","apple_rating","android_rating","apple_price","android_price","apple_genre","android_genre","apple_content_rating","play_content_rating","weighted_rev_count","lifespan_mos","gross","ad_cost","apple_purchase_cost","android_purchase_cost","profit"
"My Little Pony: Harmony Quest",4.0,4.1,0.00,0,"Entertainment","Casual;Action & Adventure","4+","Everyone",146098,216,"$540,000.00","$108,000.00","$10,000.00","$10,000.00","$412,000.00"
"Google Classroom",4.0,4.2,0.00,0,"Education","Education","4+","Everyone",64487,216,"$540,000.00","$108,000.00","$10,000.00","$10,000.00","$412,000.00"
"WatchESPN",4.0,4.1,0.00,0,"Sports","Sports","4+","Everyone",242843,216,"$540,000.00","$108,000.00","$10,000.00","$10,000.00","$412,000.00"
"Peggle Blast",4.0,4.1,0.00,0,"Games","Card","9+","Everyone",156218,216,"$540,000.00","$108,000.00","$10,000.00","$10,000.00","$412,000.00"
"Driving Zone",4.0,4.2,0.00,0,"Games","Racing","4+","Everyone",51496,216,"$540,000.00","$108,000.00","$10,000.00","$10,000.00","$412,000.00"
"Toca Life: City",4.5,4.7,2.99,3.99,"Education","Education;Pretend Play","4+","Everyone",28264,240,"$600,000.00","$120,000.00","$29,900.00","$39,900.00","$410,200.00"
"My Talking Pet",4.5,4.6,1.99,4.99,"Entertainment","Entertainment","4+","Everyone",7892,240,"$600,000.00","$120,000.00","$19,900.00","$49,900.00","$410,200.00"
"True Skate",4.0,4.4,1.99,1.99,"Games","Sports","4+","Everyone",120087,228,"$570,000.00","$120,000.00","$19,900.00","$19,900.00","$410,200.00"
"Toca Life: City",4.5,4.7,2.99,3.99,"Education","Education;Pretend Play","4+","Everyone",28249,240,"$600,000.00","$120,000.00","$29,900.00","$39,900.00","$410,200.00"
"Dr. Panda & Toto's Treehouse",4.5,4.4,3.99,3.99,"Entertainment","Casual;Pretend Play","4+","Everyone",3049,240,"$600,000.00","$120,000.00","$39,900.00","$39,900.00","$400,200.00"
"Out There Chronicles - Ep. 1",4.0,4.4,1.99,2.99,"Games","Role Playing","12+","Everyone",1438,228,"$570,000.00","$120,000.00","$19,900.00","$29,900.00","$400,200.00"
"Dr. Panda & Toto's Treehouse",4.5,4.4,3.99,3.99,"Entertainment","Casual;Pretend Play","4+","Everyone",3048,240,"$600,000.00","$120,000.00","$39,900.00","$39,900.00","$400,200.00"
"Dr. Panda & Toto's Treehouse",4.5,4.4,3.99,3.99,"Entertainment","Casual;Pretend Play","4+","Everyone",3048,240,"$600,000.00","$120,000.00","$39,900.00","$39,900.00","$400,200.00"
"Retro City Rampage DX",4.5,4.7,4.99,2.99,"Games","Action","12+","Teen",367,240,"$600,000.00","$120,000.00","$49,900.00","$29,900.00","$400,200.00"
"iFunny :)",3.5,4.4,0.00,0,"Entertainment","Entertainment","17+","Mature 17+",437538,216,"$540,000.00","$120,000.00","$10,000.00","$10,000.00","$400,000.00"
"TED",3.5,4.6,0.00,0,"Education","Education","12+","Everyone 10+",176467,216,"$540,000.00","$120,000.00","$10,000.00","$10,000.00","$400,000.00"
"TED",3.5,4.6,0.00,0,"Education","Education","12+","Everyone 10+",176467,216,"$540,000.00","$120,000.00","$10,000.00","$10,000.00","$400,000.00"
"TED",3.5,4.6,0.00,0,"Education","Education","12+","Everyone 10+",176467,216,"$540,000.00","$120,000.00","$10,000.00","$10,000.00","$400,000.00"
"STARZ",3.5,4.3,0.00,0,"Entertainment","Entertainment","17+","Mature 17+",80870,216,"$540,000.00","$120,000.00","$10,000.00","$10,000.00","$400,000.00"
"STARZ",3.5,4.3,0.00,0,"Entertainment","Entertainment","17+","Mature 17+",80870,216,"$540,000.00","$120,000.00","$10,000.00","$10,000.00","$400,000.00"
"STARZ",3.5,4.3,0.00,0,"Entertainment","Entertainment","17+","Mature 17+",80870,216,"$540,000.00","$120,000.00","$10,000.00","$10,000.00","$400,000.00"
"Chick-fil-A",3.5,4.3,0.00,0,"Food & Drink","Food & Drink","4+","Everyone",24249,216,"$540,000.00","$120,000.00","$10,000.00","$10,000.00","$400,000.00"
"Allrecipes Dinner Spinner",3.5,4.5,0.00,0,"Food & Drink","Food & Drink","12+","Everyone",92194,216,"$540,000.00","$120,000.00","$10,000.00","$10,000.00","$400,000.00"
"Chick-fil-A",3.5,4.3,0.00,0,"Food & Drink","Food & Drink","4+","Everyone",24250,216,"$540,000.00","$120,000.00","$10,000.00","$10,000.00","$400,000.00"
"Premier League - Official App",3.5,4.3,0.00,0,"Sports","Sports","12+","Everyone",62808,216,"$540,000.00","$120,000.00","$10,000.00","$10,000.00","$400,000.00"
"NBA",3.5,4.4,0.00,0,"Sports","Sports","4+","Everyone",89742,216,"$540,000.00","$120,000.00","$10,000.00","$10,000.00","$400,000.00"
"Chick-fil-A",3.5,4.3,0.00,0,"Food & Drink","Food & Drink","4+","Everyone",24176,216,"$540,000.00","$120,000.00","$10,000.00","$10,000.00","$400,000.00"
"Ingress",3.5,4.3,0.00,0,"Games","Adventure","9+","Everyone",388624,216,"$540,000.00","$120,000.00","$10,000.00","$10,000.00","$400,000.00"
"TED",3.5,4.6,0.00,0,"Education","Education","12+","Everyone 10+",176535,216,"$540,000.00","$120,000.00","$10,000.00","$10,000.00","$400,000.00"
"Premier League - Official App",3.5,4.3,0.00,0,"Sports","Sports","12+","Everyone",63010,216,"$540,000.00","$120,000.00","$10,000.00","$10,000.00","$400,000.00"
"DRAGON QUEST",4.5,4.2,2.99,2.99,"Games","Role Playing","9+","Everyone",9274,228,"$570,000.00","$120,000.00","$29,900.00","$29,900.00","$390,200.00"
"Dr. Panda Hospital",4.0,4.4,2.99,2.99,"Education","Education;Pretend Play","4+","Everyone",908,228,"$570,000.00","$120,000.00","$29,900.00","$29,900.00","$390,200.00"
"Nick",3.5,4.2,0.00,0,"Entertainment","Entertainment;Music & Video","4+","Everyone 10+",112638,204,"$510,000.00","$108,000.00","$10,000.00","$10,000.00","$382,000.00"
"NBC News",3.5,4.1,0.00,0,"News","News & Magazines","12+","Everyone 10+",52686,204,"$510,000.00","$108,000.00","$10,000.00","$10,000.00","$382,000.00"
"USA TODAY",3.5,4.1,0.00,0,"News","News & Magazines","4+","Everyone 10+",56191,204,"$510,000.00","$108,000.00","$10,000.00","$10,000.00","$382,000.00"
"USA TODAY",3.5,4.1,0.00,0,"News","News & Magazines","4+","Everyone 10+",56191,204,"$510,000.00","$108,000.00","$10,000.00","$10,000.00","$382,000.00"
"NBC News",3.5,4.1,0.00,0,"News","News & Magazines","12+","Everyone 10+",52686,204,"$510,000.00","$108,000.00","$10,000.00","$10,000.00","$382,000.00"
"USA TODAY",3.5,4.1,0.00,0,"News","News & Magazines","4+","Everyone 10+",56191,204,"$510,000.00","$108,000.00","$10,000.00","$10,000.00","$382,000.00"
"Edmodo",3.5,4.1,0.00,0,"Education","Education","4+","Everyone",193360,204,"$510,000.00","$108,000.00","$10,000.00","$10,000.00","$382,000.00"
"DIRECTV",3.5,4.1,0.00,0,"Entertainment","Entertainment","4+","Teen",195946,204,"$510,000.00","$108,000.00","$10,000.00","$10,000.00","$382,000.00"
"Kids A-Z",3.5,4.2,0.00,0,"Education","Education;Education","4+","Everyone",24107,204,"$510,000.00","$108,000.00","$10,000.00","$10,000.00","$382,000.00"
"PBS KIDS Video",3.5,4.2,0.00,0,"Education","Education;Music & Video","4+","Everyone",30899,204,"$510,000.00","$108,000.00","$10,000.00","$10,000.00","$382,000.00"
"PBS KIDS Video",3.5,4.2,0.00,0,"Education","Education;Music & Video","4+","Everyone",30897,204,"$510,000.00","$108,000.00","$10,000.00","$10,000.00","$382,000.00"
"NHL",3.5,4.0,0.00,0,"Sports","Sports","4+","Everyone",59107,204,"$510,000.00","$108,000.00","$10,000.00","$10,000.00","$382,000.00"
"Timehop",3.5,4.1,0.00,0,"Social Networking","Social","4+","Teen",135321,204,"$510,000.00","$108,000.00","$10,000.00","$10,000.00","$382,000.00"
"DB Navigator",3.5,4.0,0.00,0,"Travel","Maps & Navigation","4+","Everyone",119177,204,"$510,000.00","$108,000.00","$10,000.00","$10,000.00","$382,000.00"
"YouNow: Live Stream Video Chat",3.5,4.1,0.00,0,"Social Networking","Social","12+","Teen",298699,204,"$510,000.00","$108,000.00","$10,000.00","$10,000.00","$382,000.00"
"Nick",3.5,4.2,0.00,0,"Entertainment","Entertainment;Music & Video","4+","Everyone 10+",112651,204,"$510,000.00","$108,000.00","$10,000.00","$10,000.00","$382,000.00"
"Geocaching®",3.5,4.1,0.00,0,"Navigation","Health & Fitness","4+","Teen",54156,204,"$510,000.00","$108,000.00","$10,000.00","$10,000.00","$382,000.00"
"Citi Mobile®",3.5,4.0,0.00,0,"Finance","Finance","4+","Everyone",66983,204,"$510,000.00","$108,000.00","$10,000.00","$10,000.00","$382,000.00"
"Nick",3.5,4.2,0.00,0,"Entertainment","Entertainment;Music & Video","4+","Everyone 10+",112608,204,"$510,000.00","$108,000.00","$10,000.00","$10,000.00","$382,000.00"
"Nick",3.5,4.2,0.00,0,"Entertainment","Entertainment;Music & Video","4+","Everyone 10+",112608,204,"$510,000.00","$108,000.00","$10,000.00","$10,000.00","$382,000.00"
"Edmodo",3.5,4.1,0.00,0,"Education","Education","4+","Everyone",193516,204,"$510,000.00","$108,000.00","$10,000.00","$10,000.00","$382,000.00"
"Univision Deportes: Liga MX, MLS, Fútbol En Vivo",3.5,4.2,0.00,0,"Sports","Sports","4+","Everyone",64917,204,"$510,000.00","$108,000.00","$10,000.00","$10,000.00","$382,000.00"
"Nick",3.5,4.2,0.00,0,"Entertainment","Entertainment;Music & Video","4+","Everyone 10+",112608,204,"$510,000.00","$108,000.00","$10,000.00","$10,000.00","$382,000.00"
"Nick",3.5,4.2,0.00,0,"Entertainment","Entertainment;Music & Video","4+","Everyone 10+",112608,204,"$510,000.00","$108,000.00","$10,000.00","$10,000.00","$382,000.00"
"F-Sim Space Shuttle",4.5,4.4,4.99,4.99,"Games","Simulation","4+","Everyone",5955,240,"$600,000.00","$120,000.00","$49,900.00","$49,900.00","$380,200.00"
"Sago Mini Babies",4.0,4.5,2.99,3.99,"Education","Education;Pretend Play","4+","Everyone",213,228,"$570,000.00","$120,000.00","$29,900.00","$39,900.00","$380,200.00"
"Toca Builders",4.5,4.2,2.99,3.99,"Education","Education;Creativity","4+","Everyone",4401,228,"$570,000.00","$120,000.00","$29,900.00","$39,900.00","$380,200.00"
"Sago Mini Babies",4.0,4.5,2.99,3.99,"Education","Education;Pretend Play","4+","Everyone",213,228,"$570,000.00","$120,000.00","$29,900.00","$39,900.00","$380,200.00"
"Battleheart Legacy",4.5,4.6,4.99,4.99,"Games","Role Playing","12+","Teen",6155,240,"$600,000.00","$120,000.00","$49,900.00","$49,900.00","$380,200.00"
"Storm Shield",4.5,3.5,2.99,0,"Weather","Weather","12+","Everyone",2287,216,"$540,000.00","$120,000.00","$29,900.00","$10,000.00","$380,100.00"
"Dr. Panda Farm",4.0,4.1,2.99,2.99,"Education","Education;Pretend Play","4+","Everyone",242,216,"$540,000.00","$108,000.00","$29,900.00","$29,900.00","$372,200.00"
"Dr. Panda Supermarket",4.0,4.2,2.99,2.99,"Education","Educational;Pretend Play","4+","Everyone",1152,216,"$540,000.00","$108,000.00","$29,900.00","$29,900.00","$372,200.00"
"Farming Simulator 16",4.5,4.2,4.99,2.99,"Games","Simulation;Education","4+","Everyone",30567,228,"$570,000.00","$120,000.00","$49,900.00","$29,900.00","$370,200.00"
"Wells Fargo Mobile",3.0,4.4,0.00,0,"Finance","Finance","4+","Everyone",220267,204,"$510,000.00","$120,000.00","$10,000.00","$10,000.00","$370,000.00"
"Wells Fargo Mobile",3.0,4.4,0.00,0,"Finance","Finance","4+","Everyone",220280,204,"$510,000.00","$120,000.00","$10,000.00","$10,000.00","$370,000.00"
"Whataburger",3.0,4.5,0.00,0,"Food & Drink","Food & Drink","4+","Everyone",4910,204,"$510,000.00","$120,000.00","$10,000.00","$10,000.00","$370,000.00"
"The EO Bar",5.0,4.7,6.99,6.99,"Health & Fitness","Health & Fitness","4+","Everyone",353,252,"$630,000.00","$132,000.00","$69,900.00","$69,900.00","$358,200.00"
"Thomas & Friends: Race On!",3.0,4.1,0.00,0,"Games","Casual;Action & Adventure","4+","Everyone",29230,192,"$480,000.00","$108,000.00","$10,000.00","$10,000.00","$352,000.00"
"Southwest Airlines",3.0,3.9,0.00,0,"Travel","Travel & Local","4+","Everyone",27967,192,"$480,000.00","$108,000.00","$10,000.00","$10,000.00","$352,000.00"
"Sky News",3.0,4.0,0.00,0,"News","News & Magazines","12+","Everyone 10+",30169,192,"$480,000.00","$108,000.00","$10,000.00","$10,000.00","$352,000.00"
"Southwest Airlines",3.0,3.9,0.00,0,"Travel","Travel & Local","4+","Everyone",27967,192,"$480,000.00","$108,000.00","$10,000.00","$10,000.00","$352,000.00"
"Redbox",3.0,4.1,0.00,0,"Entertainment","Entertainment","12+","Everyone",96200,192,"$480,000.00","$108,000.00","$10,000.00","$10,000.00","$352,000.00"
"Messenger",3.0,4.1,0.00,0,"Social Networking","Social","4+","Everyone",305502,192,"$480,000.00","$108,000.00","$10,000.00","$10,000.00","$352,000.00"
"Epson iPrint",3.0,4.1,0.00,0,"Photo & Video","Tools","4+","Everyone",105476,192,"$480,000.00","$108,000.00","$10,000.00","$10,000.00","$352,000.00"
"Thomas & Friends: Race On!",3.0,4.1,0.00,0,"Games","Casual;Action & Adventure","4+","Everyone",29230,192,"$480,000.00","$108,000.00","$10,000.00","$10,000.00","$352,000.00"
"Mad Libs",3.0,4.0,0.00,0,"Entertainment","Entertainment;Brain Games","4+","Everyone",110811,192,"$480,000.00","$108,000.00","$10,000.00","$10,000.00","$352,000.00"
"Paprika Recipe Manager",4.5,4.1,4.99,4.99,"Food & Drink","Food & Drink","17+","Everyone",1550,228,"$570,000.00","$120,000.00","$49,900.00","$49,900.00","$350,200.00"
"NBA JAM by EA SPORTS™",4.0,4.3,4.99,4.99,"Games","Sports;Action & Adventure","4+","Everyone",46798,228,"$570,000.00","$120,000.00","$49,900.00","$49,900.00","$350,200.00"
"LEGO® Friends",4.0,4.4,4.99,4.99,"Games","Casual;Pretend Play","4+","Everyone",709,228,"$570,000.00","$120,000.00","$49,900.00","$49,900.00","$350,200.00"
"Don't Starve: Pocket Edition",4.0,4.4,4.99,4.99,"Games","Adventure","9+","Teen",15534,228,"$570,000.00","$120,000.00","$49,900.00","$49,900.00","$350,200.00"
"Please, Don't Touch Anything",4.0,4.4,4.99,4.99,"Games","Puzzle","9+","Teen",1525,228,"$570,000.00","$120,000.00","$49,900.00","$49,900.00","$350,200.00"
"myAT&T",3.0,3.7,0.00,0,"Utilities","Productivity","4+","Everyone",96697,180,"$450,000.00","$96,000.00","$10,000.00","$10,000.00","$334,000.00"
"Fly Delta",3.0,3.7,0.00,0,"Travel","Travel & Local","4+","Everyone",23140,180,"$450,000.00","$96,000.00","$10,000.00","$10,000.00","$334,000.00"
"H&M",3.0,3.7,0.00,0,"Shopping","Lifestyle","4+","Everyone",41276,180,"$450,000.00","$96,000.00","$10,000.00","$10,000.00","$334,000.00"
"myAT&T",3.0,3.7,0.00,0,"Utilities","Productivity","4+","Everyone",96686,180,"$450,000.00","$96,000.00","$10,000.00","$10,000.00","$334,000.00"
"H&M",3.0,3.7,0.00,0,"Shopping","Lifestyle","4+","Everyone",41252,180,"$450,000.00","$96,000.00","$10,000.00","$10,000.00","$334,000.00"
"Fly Delta",3.0,3.7,0.00,0,"Travel","Travel & Local","4+","Everyone",23140,180,"$450,000.00","$96,000.00","$10,000.00","$10,000.00","$334,000.00"
"Assassin's Creed Identity",4.0,3.7,4.99,1.99,"Games","Action","12+","Teen",39549,204,"$510,000.00","$108,000.00","$49,900.00","$19,900.00","$332,200.00"
"LEGO Batman: DC Super Heroes",4.0,4.2,4.99,4.99,"Games","Adventure;Action & Adventure","9+","Everyone 10+",6432,216,"$540,000.00","$108,000.00","$49,900.00","$49,900.00","$332,200.00"
"RollerCoaster Tycoon® Classic",4.0,4.6,5.99,5.99,"Games","Simulation","4+","Everyone",9512,228,"$570,000.00","$120,000.00","$59,900.00","$59,900.00","$330,200.00"
"Puffin Browser Pro",3.5,4.0,3.99,3.99,"Utilities","Communication","17+","Everyone",15116,204,"$510,000.00","$108,000.00","$39,900.00","$39,900.00","$322,200.00"
"SHOWTIME",2.5,4.2,0.00,0,"Entertainment","Entertainment","17+","Teen",11400,180,"$450,000.00","$108,000.00","$10,000.00","$10,000.00","$322,000.00"
"BET NOW - Watch Shows",2.5,4.2,0.00,0,"Entertainment","Entertainment","17+","Teen",13958,180,"$450,000.00","$108,000.00","$10,000.00","$10,000.00","$322,000.00"
"NFL",2.5,4.1,0.00,0,"Sports","Sports","4+","Everyone",435541,180,"$450,000.00","$108,000.00","$10,000.00","$10,000.00","$322,000.00"
"SHOWTIME",2.5,4.2,0.00,0,"Entertainment","Entertainment","17+","Teen",11400,180,"$450,000.00","$108,000.00","$10,000.00","$10,000.00","$322,000.00"
"T-Mobile Tuesdays",2.5,4.0,0.00,0,"Lifestyle","Lifestyle","17+","Everyone",50297,180,"$450,000.00","$108,000.00","$10,000.00","$10,000.00","$322,000.00"
"MTV",2.5,3.8,0.00,0,"Entertainment","Entertainment","12+","Teen",31029,180,"$450,000.00","$108,000.00","$10,000.00","$10,000.00","$322,000.00"
"Battlefield™ Companion",2.5,4.0,0.00,0,"Social Networking","Action","12+","Everyone 10+",263221,180,"$450,000.00","$108,000.00","$10,000.00","$10,000.00","$322,000.00"
"BET NOW - Watch Shows",2.5,4.2,0.00,0,"Entertainment","Entertainment","17+","Teen",13958,180,"$450,000.00","$108,000.00","$10,000.00","$10,000.00","$322,000.00"
"MTV",2.5,3.8,0.00,0,"Entertainment","Entertainment","12+","Teen",31029,180,"$450,000.00","$108,000.00","$10,000.00","$10,000.00","$322,000.00"
"NFL",2.5,4.1,0.00,0,"Sports","Sports","4+","Everyone",435543,180,"$450,000.00","$108,000.00","$10,000.00","$10,000.00","$322,000.00"
"BET NOW - Watch Shows",2.5,4.2,0.00,0,"Entertainment","Entertainment","17+","Teen",13958,180,"$450,000.00","$108,000.00","$10,000.00","$10,000.00","$322,000.00"
"NFL",2.5,4.1,0.00,0,"Sports","Sports","4+","Everyone",435541,180,"$450,000.00","$108,000.00","$10,000.00","$10,000.00","$322,000.00"
"My Movies Pro - Movie & TV Collection Library",4.5,4.6,7.99,7.99,"Catalogs","Lifestyle","12+","Everyone",5608,240,"$600,000.00","$120,000.00","$79,900.00","$79,900.00","$320,200.00"
"Grand Theft Auto: San Andreas",4.0,4.4,6.99,6.99,"Games","Action","17+","Mature 17+",321977,228,"$570,000.00","$120,000.00","$69,900.00","$69,900.00","$310,200.00"
"U by BB&T",2.0,4.3,0.00,0,"Finance","Finance","4+","Everyone",15881,180,"$450,000.00","$120,000.00","$10,000.00","$10,000.00","$310,000.00"
"United Airlines",2.5,3.5,0.00,0,"Travel","Travel & Local","4+","Everyone",26524,168,"$420,000.00","$96,000.00","$10,000.00","$10,000.00","$304,000.00"
"United Airlines",2.5,3.5,0.00,0,"Travel","Travel & Local","4+","Everyone",26524,168,"$420,000.00","$96,000.00","$10,000.00","$10,000.00","$304,000.00"
"I am Bread",3.5,4.0,4.99,4.99,"Games","Adventure","4+","Everyone",1156,204,"$510,000.00","$108,000.00","$49,900.00","$49,900.00","$302,200.00"
"Don't Starve: Shipwrecked",3.5,4.1,4.99,4.99,"Games","Adventure","9+","Teen",1222,204,"$510,000.00","$108,000.00","$49,900.00","$49,900.00","$302,200.00"
"NCAA Sports",2.0,3.9,0.00,0,"Sports","Sports","4+","Everyone",3800,168,"$420,000.00","$108,000.00","$10,000.00","$10,000.00","$292,000.00"
"AirWatch Agent",2.5,3.1,0.00,0,"Business","Business","4+","Everyone",19942,156,"$390,000.00","$84,000.00","$10,000.00","$10,000.00","$286,000.00"
"NBC Sports",2.5,3.1,0.00,0,"Sports","Sports","4+","Everyone",66699,156,"$390,000.00","$84,000.00","$10,000.00","$10,000.00","$286,000.00"
"My College Bookstore",2.5,3.2,0.00,0,"Shopping","Shopping","4+","Everyone",550,156,"$390,000.00","$84,000.00","$10,000.00","$10,000.00","$286,000.00"
"myChevrolet",2.0,3.5,0.00,0,"Lifestyle","Lifestyle","17+","Everyone",5963,156,"$390,000.00","$96,000.00","$10,000.00","$10,000.00","$274,000.00"
"McDonald's",2.0,3.6,0.00,0,"Food & Drink","Food & Drink","4+","Everyone",141492,156,"$390,000.00","$96,000.00","$10,000.00","$10,000.00","$274,000.00"
"McDonald's",2.0,3.6,0.00,0,"Food & Drink","Food & Drink","4+","Everyone",141815,156,"$390,000.00","$96,000.00","$10,000.00","$10,000.00","$274,000.00"
"Peppa Pig: Party Time",2.0,3.8,0.99,2.99,"Education","Educational;Pretend Play","4+","Everyone",45,168,"$420,000.00","$108,000.00","$10,000.00","$29,900.00","$272,100.00"
"AMC",2.0,3.2,0.00,0,"Entertainment","Entertainment","12+","Teen",18543,144,"$360,000.00","$84,000.00","$10,000.00","$10,000.00","$256,000.00"
"Baldur's Gate: Enhanced Edition",4.0,4.5,9.99,9.99,"Games","Role Playing","12+","Teen",18843,228,"$570,000.00","$120,000.00","$99,900.00","$99,900.00","$250,200.00"
"FINAL FANTASY V",4.5,4.5,14.99,7.99,"Games","Role Playing","9+","Teen",14484,240,"$600,000.00","$120,000.00","$149,900.00","$79,900.00","$250,200.00"
"SNCF",1.5,3.4,0.00,0,"Travel","Travel & Local","4+","Everyone",15743,144,"$360,000.00","$96,000.00","$10,000.00","$10,000.00","$244,000.00"
"XCOM®: Enemy Within",4.0,4.2,9.99,9.99,"Games","Strategy","17+","Mature 17+",11878,216,"$540,000.00","$108,000.00","$99,900.00","$99,900.00","$232,200.00"
"Philips Hue",1.5,3.1,0.00,0,"Lifestyle","Lifestyle","4+","Everyone",8672,132,"$330,000.00","$84,000.00","$10,000.00","$10,000.00","$226,000.00"
"AnatomyMapp",3.5,4.1,9.99,14.99,"Medical","Medical","4+","Everyone",67,204,"$510,000.00","$108,000.00","$99,900.00","$149,900.00","$152,200.00"
"AnatomyMapp",3.5,4.1,9.99,14.99,"Medical","Medical","4+","Everyone",67,204,"$510,000.00","$108,000.00","$99,900.00","$149,900.00","$152,200.00"
"Muscle Premium - Human Anatomy, Kinesiology, Bones",4.5,4.2,19.99,24.99,"Medical","Medical","12+","Everyone",336,228,"$570,000.00","$120,000.00","$199,900.00","$249,900.00","$200.00"
"Muscle Premium - Human Anatomy, Kinesiology, Bones",4.5,4.2,19.99,24.99,"Medical","Medical","12+","Everyone",336,228,"$570,000.00","$120,000.00","$199,900.00","$249,900.00","$200.00"
