"app_in_both_stores","weighted_rev_count","lifespan_mos","gross","ad_cost","apple_purchase_cost","android_purchase_cost","profit"
"The Guardian",240337,252,630000.0,132000.0,10000,10000,478000.0
"ASOS",173085,252,630000.0,132000.0,10000,10000,478000.0
"Adobe Illustrator Draw",62850,240,600000.0,120000.0,10000,10000,460000.0
"Afterlight",42920,240,600000.0,120000.0,10000,10000,460000.0
"Angry Birds Blast",232689,240,600000.0,120000.0,10000,10000,460000.0
"Animal Jam - Play Wild!",338491,240,600000.0,120000.0,10000,10000,460000.0
"Army of Heroes",83815,240,600000.0,120000.0,10000,10000,460000.0
"Bejeweled Classic",193689,240,600000.0,120000.0,10000,10000,460000.0
"ClassDojo",126761,240,600000.0,120000.0,10000,10000,460000.0
"Discord - Chat for Gamers",296727,240,600000.0,120000.0,10000,10000,460000.0
"Disney Crossy Road",480900,240,600000.0,120000.0,10000,10000,460000.0
"DoorDash - Food Delivery",88878,240,600000.0,120000.0,10000,10000,460000.0
"Dude Perfect",9667,240,600000.0,120000.0,10000,10000,460000.0
"Dude Perfect 2",377028,240,600000.0,120000.0,10000,10000,460000.0
"Fuel Rewards® program",30475,240,600000.0,120000.0,10000,10000,460000.0
"Gear.Club - True Racing",137973,240,600000.0,120000.0,10000,10000,460000.0
"GMX Mail",258454,240,600000.0,120000.0,10000,10000,460000.0
"Google Sheets",474120,240,600000.0,120000.0,10000,10000,460000.0
"GroupMe",306949,240,600000.0,120000.0,10000,10000,460000.0
"Hitman Sniper",400182,240,600000.0,120000.0,10000,10000,460000.0
"Microsoft OneNote",447041,240,600000.0,120000.0,10000,10000,460000.0
"Narcos: Cartel Wars",240468,240,600000.0,120000.0,10000,10000,460000.0
"Nyan Cat: Lost In Space",320995,240,600000.0,120000.0,10000,10000,460000.0
"OK K.O.! Lakewood Plaza Turbo",76182,240,600000.0,120000.0,10000,10000,460000.0
"PAC-MAN Pop",23954,240,600000.0,120000.0,10000,10000,460000.0
"Photo Editor-",61119,240,600000.0,120000.0,10000,10000,460000.0
"Pineapple Pen",151339,240,600000.0,120000.0,10000,10000,460000.0
"Plants vs. Zombies™ 2",471489,240,600000.0,120000.0,10000,10000,460000.0
"Plants vs. Zombies™ Heroes",364284,240,600000.0,120000.0,10000,10000,460000.0
"Real Racing 3",294184,240,600000.0,120000.0,10000,10000,460000.0
"Regal Cinemas",27118,240,600000.0,120000.0,10000,10000,460000.0
"Seven - 7 Minute Workout Training Challenge",69888,240,600000.0,120000.0,10000,10000,460000.0
"Smashy Road: Arena",42772,240,600000.0,120000.0,10000,10000,460000.0
"Star Chart",117880,240,600000.0,120000.0,10000,10000,460000.0
"Starbucks",394816,240,600000.0,120000.0,10000,10000,460000.0
"Super Jabber Jump",85278,240,600000.0,120000.0,10000,10000,460000.0
"The CW",239965,240,600000.0,120000.0,10000,10000,460000.0
"The Washington Post Classic",21116,240,600000.0,120000.0,10000,10000,460000.0
"Trello",69927,240,600000.0,120000.0,10000,10000,460000.0
"Verizon Cloud",179587,240,600000.0,120000.0,10000,10000,460000.0
"WGT Golf Game by Topgolf",122998,240,600000.0,120000.0,10000,10000,460000.0
"Wishbone - Compare Anything",42728,240,600000.0,120000.0,10000,10000,460000.0
"YouTube Kids",444564,240,600000.0,120000.0,10000,10000,460000.0
"H*nest Meditation",120,252,630000.0,132000.0,19900.00,19900.00,458200.00
"Dragon Hills",349033,240,600000.0,120000.0,19900.00,10000,450100.00
"AJ Jump: Animal Jam Kangaroos!",2506,240,600000.0,120000.0,19900.00,19900.00,440200.00
"Where's My Water?",165283,240,600000.0,120000.0,19900.00,19900.00,440200.00
"Vikings: an Archer's Journey",10163,240,600000.0,120000.0,29900.00,10000,440100.00
"Bike Unchained",82925,228,570000.0,120000.0,10000,10000,430000.0
"USAA Mobile",87630,228,570000.0,120000.0,10000,10000,430000.0
"Best Buy",154225,228,570000.0,120000.0,10000,10000,430000.0
"Endless Ducker",7646,228,570000.0,120000.0,10000,10000,430000.0
"Airbnb",339707,228,570000.0,120000.0,10000,10000,430000.0
"Fandango Movies - Times + Tickets",269921,228,570000.0,120000.0,10000,10000,430000.0
"Angry Birds Space HD",41676,228,570000.0,120000.0,10000,10000,430000.0
"Amex Mobile",20524,228,570000.0,120000.0,10000,10000,430000.0
"Firefox Focus: The privacy browser",36516,228,570000.0,120000.0,10000,10000,430000.0
"Tomb of the Mask",49371,228,570000.0,120000.0,10000,10000,430000.0
"My Emma :)",237983,228,570000.0,120000.0,10000,10000,430000.0
"Mad Skills Motocross",27349,228,570000.0,120000.0,10000,10000,430000.0
"Crazy Freekick",47462,228,570000.0,120000.0,10000,10000,430000.0
"T-Mobile",464241,228,570000.0,120000.0,10000,10000,430000.0
"Deck Heroes: Legacy",466002,228,570000.0,120000.0,10000,10000,430000.0
"Tiny Archers",80117,228,570000.0,120000.0,10000,10000,430000.0
"Shopkins World!",166669,228,570000.0,120000.0,10000,10000,430000.0
"SONIC Drive-In",17927,228,570000.0,120000.0,10000,10000,430000.0
"ADP Mobile Solutions",78342,228,570000.0,120000.0,10000,10000,430000.0
"WEB.DE Mail",226373,228,570000.0,120000.0,10000,10000,430000.0
"sugar, sugar",1291,228,570000.0,120000.0,10000,12000.00,428000.00
"Pocket Yoga",3716,240,600000.0,120000.0,29900.00,29900.00,420200.00
"Bloons TD 5",163260,240,600000.0,120000.0,29900.00,29900.00,420200.00
"The Game of Life",16827,240,600000.0,120000.0,29900.00,29900.00,420200.00
"Alizay, pirate girl",184,240,600000.0,120000.0,29900.00,29900.00,420200.00
"Five Nights at Freddy's",85119,240,600000.0,120000.0,29900.00,29900.00,420200.00
"Five Nights at Freddy's 2",62937,240,600000.0,120000.0,29900.00,29900.00,420200.00
"Five Nights at Freddy's 3",23149,240,600000.0,120000.0,29900.00,29900.00,420200.00
"Threema",50915,240,600000.0,120000.0,29900.00,29900.00,420200.00
"Riptide GP: Renegade",3987,240,600000.0,120000.0,29900.00,29900.00,420200.00
"Tsuro - The Game of the Path",1868,240,600000.0,120000.0,29900.00,29900.00,420200.00
"Can Knockdown 3",348375,228,570000.0,120000.0,19900.00,10000,420100.00
"Hitman GO",77062,240,600000.0,120000.0,49900.00,10000,420100.00
"Fitbit",303488,216,540000.0,108000.0,10000,10000,412000.0
"Driving Zone",51496,216,540000.0,108000.0,10000,10000,412000.0
"Get 'Em",7864,216,540000.0,108000.0,10000,10000,412000.0
"Google Classroom",64492,216,540000.0,108000.0,10000,10000,412000.0
"Google Slides",235420,216,540000.0,108000.0,10000,10000,412000.0
"Infinite Painter",36750,216,540000.0,108000.0,10000,10000,412000.0
"King of Avalon: Dragon Warfare",303397,216,540000.0,108000.0,10000,10000,412000.0
"MARVEL Avengers Academy",288608,216,540000.0,108000.0,10000,10000,412000.0
"My Little Pony: Harmony Quest",146208,216,540000.0,108000.0,10000,10000,412000.0
"NASCAR MOBILE",70034,216,540000.0,108000.0,10000,10000,412000.0
"Peggle Blast",156218,216,540000.0,108000.0,10000,10000,412000.0
"RISK: Global Domination",64079,216,540000.0,108000.0,10000,10000,412000.0
"WatchESPN",242843,216,540000.0,108000.0,10000,10000,412000.0
"Amazon Prime Video",376391,216,540000.0,108000.0,10000,10000,412000.0
"Ao Oni2",21216,216,540000.0,108000.0,10000,10000,412000.0
"Bejeweled Blitz",221836,216,540000.0,108000.0,10000,10000,412000.0
"Cartoon Wars 3",136708,216,540000.0,108000.0,10000,10000,412000.0
"diep.io",338980,216,540000.0,108000.0,10000,10000,412000.0
"Does not Commute",148861,216,540000.0,108000.0,10000,10000,412000.0
"My Talking Pet",7892,240,600000.0,120000.0,19900.00,49900.00,410200.00
"True Skate",120087,228,570000.0,120000.0,19900.00,19900.00,410200.00
"Toca Life: City",28249,240,600000.0,120000.0,29900.00,39900.00,410200.00
"Out There Chronicles - Ep. 1",1438,228,570000.0,120000.0,19900.00,29900.00,400200.00
"Dr. Panda & Toto's Treehouse",3048,240,600000.0,120000.0,39900.00,39900.00,400200.00
"Retro City Rampage DX",367,240,600000.0,120000.0,49900.00,29900.00,400200.00
"iFunny :)",437538,216,540000.0,120000.0,10000,10000,400000.0
"Chick-fil-A",24249,216,540000.0,120000.0,10000,10000,400000.0
"Allrecipes Dinner Spinner",92194,216,540000.0,120000.0,10000,10000,400000.0
"Ingress",388624,216,540000.0,120000.0,10000,10000,400000.0
"Premier League - Official App",62808,216,540000.0,120000.0,10000,10000,400000.0
"NBA",89742,216,540000.0,120000.0,10000,10000,400000.0
"STARZ",80870,216,540000.0,120000.0,10000,10000,400000.0
"TED",176467,216,540000.0,120000.0,10000,10000,400000.0
"DRAGON QUEST",9274,228,570000.0,120000.0,29900.00,29900.00,390200.00
"Dr. Panda Hospital",908,228,570000.0,120000.0,29900.00,29900.00,390200.00
"NBC News",52686,204,510000.0,108000.0,10000,10000,382000.0
"NHL",59107,204,510000.0,108000.0,10000,10000,382000.0
"Nick",112608,204,510000.0,108000.0,10000,10000,382000.0
"Kids A-Z",24107,204,510000.0,108000.0,10000,10000,382000.0
"PBS KIDS Video",30897,204,510000.0,108000.0,10000,10000,382000.0
"DB Navigator",119177,204,510000.0,108000.0,10000,10000,382000.0
"Citi Mobile®",66983,204,510000.0,108000.0,10000,10000,382000.0
"Univision Deportes: Liga MX, MLS, Fútbol En Vivo",64917,204,510000.0,108000.0,10000,10000,382000.0
"USA TODAY",56191,204,510000.0,108000.0,10000,10000,382000.0
"Timehop",135321,204,510000.0,108000.0,10000,10000,382000.0
"YouNow: Live Stream Video Chat",298699,204,510000.0,108000.0,10000,10000,382000.0
"Geocaching®",54156,204,510000.0,108000.0,10000,10000,382000.0
"Edmodo",193360,204,510000.0,108000.0,10000,10000,382000.0
"DIRECTV",195946,204,510000.0,108000.0,10000,10000,382000.0
"Toca Builders",4401,228,570000.0,120000.0,29900.00,39900.00,380200.00
"F-Sim Space Shuttle",5955,240,600000.0,120000.0,49900.00,49900.00,380200.00
"Sago Mini Babies",213,228,570000.0,120000.0,29900.00,39900.00,380200.00
"Battleheart Legacy",6155,240,600000.0,120000.0,49900.00,49900.00,380200.00
"Storm Shield",2287,216,540000.0,120000.0,29900.00,10000,380100.00
"Dr. Panda Farm",242,216,540000.0,108000.0,29900.00,29900.00,372200.00
"Dr. Panda Supermarket",1152,216,540000.0,108000.0,29900.00,29900.00,372200.00
"Farming Simulator 16",30567,228,570000.0,120000.0,49900.00,29900.00,370200.00
"Whataburger",4910,204,510000.0,120000.0,10000,10000,370000.0
"Wells Fargo Mobile",220267,204,510000.0,120000.0,10000,10000,370000.0
"The EO Bar",353,252,630000.0,132000.0,69900.00,69900.00,358200.00
"Southwest Airlines",27967,192,480000.0,108000.0,10000,10000,352000.0
"Redbox",96200,192,480000.0,108000.0,10000,10000,352000.0
"Sky News",30169,192,480000.0,108000.0,10000,10000,352000.0
"Thomas & Friends: Race On!",29230,192,480000.0,108000.0,10000,10000,352000.0
"Epson iPrint",105476,192,480000.0,108000.0,10000,10000,352000.0
"Mad Libs",110811,192,480000.0,108000.0,10000,10000,352000.0
"Messenger",305502,192,480000.0,108000.0,10000,10000,352000.0
"Please, Don't Touch Anything",1525,228,570000.0,120000.0,49900.00,49900.00,350200.00
"Don't Starve: Pocket Edition",15534,228,570000.0,120000.0,49900.00,49900.00,350200.00
"LEGO® Friends",709,228,570000.0,120000.0,49900.00,49900.00,350200.00
"Paprika Recipe Manager",1550,228,570000.0,120000.0,49900.00,49900.00,350200.00
"NBA JAM by EA SPORTS™",46798,228,570000.0,120000.0,49900.00,49900.00,350200.00
"myAT&T",96697,180,450000.0,96000.0,10000,10000,334000.0
"Fly Delta",23140,180,450000.0,96000.0,10000,10000,334000.0
"H&M",41252,180,450000.0,96000.0,10000,10000,334000.0
"Assassin's Creed Identity",39549,204,510000.0,108000.0,49900.00,19900.00,332200.00
"LEGO Batman: DC Super Heroes",6432,216,540000.0,108000.0,49900.00,49900.00,332200.00
"RollerCoaster Tycoon® Classic",9512,228,570000.0,120000.0,59900.00,59900.00,330200.00
"Puffin Browser Pro",15116,204,510000.0,108000.0,39900.00,39900.00,322200.00
"NFL",435543,180,450000.0,108000.0,10000,10000,322000.0
"SHOWTIME",11400,180,450000.0,108000.0,10000,10000,322000.0
"T-Mobile Tuesdays",50297,180,450000.0,108000.0,10000,10000,322000.0
"Battlefield™ Companion",263221,180,450000.0,108000.0,10000,10000,322000.0
"BET NOW - Watch Shows",13958,180,450000.0,108000.0,10000,10000,322000.0
"MTV",31029,180,450000.0,108000.0,10000,10000,322000.0
"My Movies Pro - Movie & TV Collection Library",5608,240,600000.0,120000.0,79900.00,79900.00,320200.00
"Grand Theft Auto: San Andreas",321977,228,570000.0,120000.0,69900.00,69900.00,310200.00
"U by BB&T",15881,180,450000.0,120000.0,10000,10000,310000.0
"United Airlines",26524,168,420000.0,96000.0,10000,10000,304000.0
"I am Bread",1156,204,510000.0,108000.0,49900.00,49900.00,302200.00
"Don't Starve: Shipwrecked",1222,204,510000.0,108000.0,49900.00,49900.00,302200.00
"NCAA Sports",3800,168,420000.0,108000.0,10000,10000,292000.0
"NBC Sports",66699,156,390000.0,84000.0,10000,10000,286000.0
"AirWatch Agent",19942,156,390000.0,84000.0,10000,10000,286000.0
"My College Bookstore",550,156,390000.0,84000.0,10000,10000,286000.0
"McDonald's",141492,156,390000.0,96000.0,10000,10000,274000.0
"myChevrolet",5963,156,390000.0,96000.0,10000,10000,274000.0
"Peppa Pig: Party Time",45,168,420000.0,108000.0,10000,29900.00,272100.00
"AMC",18543,144,360000.0,84000.0,10000,10000,256000.0
"FINAL FANTASY V",14484,240,600000.0,120000.0,149900.00,79900.00,250200.00
"Baldur's Gate: Enhanced Edition",18843,228,570000.0,120000.0,99900.00,99900.00,250200.00
"SNCF",15743,144,360000.0,96000.0,10000,10000,244000.0
"XCOM®: Enemy Within",11878,216,540000.0,108000.0,99900.00,99900.00,232200.00
"Philips Hue",8672,132,330000.0,84000.0,10000,10000,226000.0
"AnatomyMapp",67,204,510000.0,108000.0,99900.00,149900.00,152200.00
"Muscle Premium - Human Anatomy, Kinesiology, Bones",336,228,570000.0,120000.0,199900.00,249900.00,200.00
